"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93","1","Manchester United (C)",38,23,11,4,78,37,"+41",80,"2011–12 UEFA Champions League Group stage"
"1992–93","2","Chelsea",38,21,8,9,69,33,"+36",71,"2011–12 UEFA Champions League Group stage"
"1992–93","3","Manchester City",38,21,8,9,60,33,"+27",71,"2011–12 UEFA Champions League Group stage"
"1992–93","4","Arsenal",38,19,11,8,72,43,"+29",68,"2011–12 UEFA Champions League Play-off round"
"1992–93","5","Tottenham Hotspur",38,16,14,8,55,46,"+9",62,"2011–12 UEFA Europa League Play-off round"
"1992–93","6","Liverpool",38,17,7,14,59,44,"+15",58,""
"1992–93","7","Everton",38,13,15,10,51,45,"+6",54,""
"1992–93","8","Fulham",38,11,16,11,49,43,"+6",49,"2011–12 UEFA Europa League First qualifying round[b]"
"1992–93","9","Aston Villa",38,12,12,14,48,59,"-11",48,""
"1992–93","10","Sunderland",38,12,11,15,45,56,"-11",47,""
"1992–93","11","West Bromwich Albion",38,12,11,15,56,71,"-15",47,""
"1992–93","12","Newcastle United",38,11,13,14,56,57,"-1",46,""
"1992–93","13","Stoke City",38,13,7,18,46,48,"-2",46,"2011–12 UEFA Europa League Third qualifying round[c]"
"1992–93","14","Bolton Wanderers",38,12,10,16,52,56,"-4",46,""
"1992–93","15","Blackburn Rovers",38,11,10,17,46,59,"-13",43,""
"1992–93","16","Wigan Athletic",38,9,15,14,40,61,"-21",42,""
"1992–93","17","Wolverhampton Wanderers",38,11,7,20,46,66,"-20",40,""
"1992–93","18","Birmingham City (R)",38,8,15,15,37,58,"-21",39,"2011–12 UEFA Europa League Play-off round[a]Relegation to the 2011–12 Football League Championship"
"1992–93","2011–12 UEFA Europa League Play-off round[a]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1992–93","Relegation to the 2011–12 Football League Championship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
