"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93",1,"Manchester United (C)",38,28,7,3,97,45,"+52",91,"Qualification for the Champions League first group stage"
"1992–93",2,"Arsenal",38,22,7,9,73,43,"+30",73,"Qualification for the Champions League first group stage"
"1992–93",3,"Leeds United",38,21,6,11,58,43,"+15",69,"Qualification for the Champions League third qualifying round"
"1992–93",4,"Liverpool",38,19,10,9,51,30,"+21",67,"Qualification for the UEFA Cup first round[a]"
"1992–93",5,"Chelsea",38,18,11,9,53,34,"+19",65,"Qualification for the UEFA Cup first round[a]"
"1992–93",6,"Aston Villa",38,15,13,10,46,35,"+11",58,"Qualification for the Intertoto Cup third round"
"1992–93",7,"Sunderland",38,16,10,12,57,56,"+1",58,""
"1992–93",8,"Leicester City",38,16,7,15,55,55,"0",55,"Qualification for the UEFA Cup first round[b]"
"1992–93",9,"West Ham United",38,15,10,13,52,53,"-1",55,""
"1992–93",10,"Tottenham Hotspur",38,15,8,15,57,49,"+8",53,""
"1992–93",11,"Newcastle United",38,14,10,14,63,54,"+9",52,""
"1992–93",12,"Middlesbrough",38,14,10,14,46,52,"-6",52,""
"1992–93",13,"Everton",38,12,14,12,59,49,"+10",50,""
"1992–93",14,"Coventry City",38,12,8,18,47,54,"-7",44,""
"1992–93",15,"Southampton",38,12,8,18,45,62,"-17",44,""
"1992–93",16,"Derby County",38,9,11,18,44,57,"-13",38,""
"1992–93",17,"Bradford City",38,9,9,20,38,68,"-30",36,"Qualification for the Intertoto Cup second round"
"1992–93",18,"Wimbledon (R)",38,7,12,19,46,74,"-28",33,"Relegation to the Football League First Division"
"1992–93",19,"Sheffield Wednesday (R)",38,8,7,23,38,70,"-32",31,"Relegation to the Football League First Division"
"1992–93",20,"Watford (R)",38,6,6,26,35,77,"-42",24,"Relegation to the Football League First Division"
