"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93",1,"Manchester United (C)",38,27,6,5,80,22,"+58",87,"Qualification for the Champions League group stage"
"1992–93",2,"Chelsea",38,25,10,3,65,26,"+39",85,"Qualification for the Champions League group stage"
"1992–93",3,"Arsenal",38,24,11,3,74,31,"+43",83,"Qualification for the Champions League third qualifying round"
"1992–93",4,"Liverpool",38,21,13,4,67,28,"+39",76,"Qualification for the Champions League third qualifying round"
"1992–93",5,"Everton",38,19,8,11,55,33,"+22",65,"Qualification for the UEFA Cup first round"
"1992–93",6,"Aston Villa",38,16,12,10,71,51,"+20",60,"Qualification for the Intertoto Cup third round"
"1992–93",7,"Blackburn Rovers",38,15,13,10,50,48,"+2",58,""
"1992–93",8,"Portsmouth",38,16,9,13,48,40,"+8",57,"Qualification for the UEFA Cup first round[a]"
"1992–93",9,"Manchester City",38,15,10,13,45,53,"-8",55,"Qualification for the UEFA Cup first qualifying round[b]"
"1992–93",10,"West Ham United",38,13,10,15,42,50,"-8",49,""
"1992–93",11,"Tottenham Hotspur",38,11,13,14,66,61,"+5",46,"Qualification for the UEFA Cup first round[c]"
"1992–93",12,"Newcastle United",38,11,10,17,45,65,"-20",43,""
"1992–93",13,"Middlesbrough",38,10,12,16,43,53,"-10",42,""
"1992–93",14,"Wigan Athletic",38,10,10,18,34,51,"-17",40,""
"1992–93",15,"Sunderland",38,11,6,21,36,59,"-23",39,""
"1992–93",16,"Bolton Wanderers",38,9,10,19,36,54,"-18",37,""
"1992–93",17,"Fulham",38,8,12,18,38,60,"-22",36,""
"1992–93",18,"Reading (R)",38,10,6,22,41,66,"-25",36,"Relegation to the Football League Championship"
"1992–93",19,"Birmingham City (R)",38,8,11,19,46,62,"-16",35,"Relegation to the Football League Championship"
"1992–93",20,"Derby County (R)",38,1,8,29,20,89,"-69",11,"Relegation to the Football League Championship"
