"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93",1,"Manchester City (C)",38,28,5,5,93,29,"+64",89,"2012–13 UEFA Champions League Group stage"
"1992–93",2,"Manchester United",38,28,5,5,89,33,"+56",89,"2012–13 UEFA Champions League Group stage"
"1992–93",3,"Arsenal",38,21,7,10,74,49,"+25",70,"2012–13 UEFA Champions League Group stage"
"1992–93",4,"Tottenham Hotspur",38,20,9,9,66,41,"+25",69,"2012–13 UEFA Europa League Group stage[a]"
"1992–93",5,"Newcastle United",38,19,8,11,56,51,"+5",65,"2012–13 UEFA Europa League Play-off round[a]"
"1992–93",6,"Chelsea",38,18,10,10,65,46,"+19",64,"2012–13 UEFA Champions League Group stage[a]"
"1992–93",7,"Everton",38,15,11,12,50,40,"+10",56,""
"1992–93",8,"Liverpool",38,14,10,14,47,40,"+7",52,"2012–13 UEFA Europa League Third qualifying round[b]"
"1992–93",9,"Fulham",38,14,10,14,48,51,"-3",52,""
"1992–93",10,"West Bromwich Albion",38,13,8,17,45,52,"-7",47,""
"1992–93",11,"Swansea City",38,12,11,15,44,51,"-7",47,""
"1992–93",12,"Norwich City",38,12,11,15,52,66,"-14",47,""
"1992–93",13,"Sunderland",38,11,12,15,45,46,"-1",45,""
"1992–93",14,"Stoke City",38,11,12,15,36,53,"-17",45,""
"1992–93",15,"Wigan Athletic",38,11,10,17,42,62,"-20",43,""
"1992–93",16,"Aston Villa",38,7,17,14,37,53,"-16",38,""
"1992–93",17,"Queens Park Rangers",38,10,7,21,43,66,"-23",37,""
"1992–93",18,"Bolton Wanderers (R)",38,10,6,22,46,77,"-31",36,"Relegation to 2012–13 Football League Championship"
"1992–93",19,"Blackburn Rovers (R)",38,8,7,23,48,78,"-30",31,"Relegation to 2012–13 Football League Championship"
"1992–93",20,"Wolverhampton Wanderers (R)",38,5,10,23,40,82,"-42",25,"Relegation to 2012–13 Football League Championship"
