"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93",1,"Chelsea (C)",38,26,9,3,73,32,"+41",87,"Qualification for the Champions League group stage"
"1992–93",2,"Manchester City",38,24,7,7,83,38,"+45",79,"Qualification for the Champions League group stage"
"1992–93",3,"Arsenal",38,22,9,7,71,36,"+35",75,"Qualification for the Champions League group stage"
"1992–93",4,"Manchester United",38,20,10,8,62,37,"+25",70,"Qualification for the Champions League play-off round"
"1992–93",5,"Tottenham Hotspur",38,19,7,12,58,53,"+5",64,"Qualification for the Europa League group stage[a]"
"1992–93",6,"Liverpool",38,18,8,12,52,48,"+4",62,"Qualification for the Europa League group stage[a]"
"1992–93",7,"Southampton",38,18,6,14,54,33,"+21",60,"Qualification for the Europa League third qualifying round[a]"
"1992–93",8,"Swansea City",38,16,8,14,46,49,"-3",56,""
"1992–93",9,"Stoke City",38,15,9,14,48,45,"+3",54,""
"1992–93",10,"Crystal Palace",38,13,9,16,47,51,"-4",48,""
"1992–93",11,"Everton",38,12,11,15,48,50,"-2",47,""
"1992–93",12,"West Ham United",38,12,11,15,44,47,"-3",47,"Qualification for the Europa League first qualifying round[b]"
"1992–93",13,"West Bromwich Albion",38,11,11,16,38,51,"-13",44,""
"1992–93",14,"Leicester City",38,11,8,19,46,55,"-9",41,""
"1992–93",15,"Newcastle United",38,10,9,19,40,63,"-23",39,""
"1992–93",16,"Sunderland",38,7,17,14,31,53,"-22",38,""
"1992–93",17,"Aston Villa",38,10,8,20,31,57,"-26",38,""
"1992–93",18,"Hull City (R)",38,8,11,19,33,51,"-18",35,"Relegation to the Football League Championship"
"1992–93",19,"Burnley (R)",38,7,12,19,28,53,"-25",33,"Relegation to the Football League Championship"
"1992–93",20,"Queens Park Rangers (R)",38,8,6,24,42,73,"-31",30,"Relegation to the Football League Championship"
