"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93",1,"Manchester United (C)",38,24,8,6,79,31,"+48",80,"Qualification for the Champions League first group stage"
"1992–93",2,"Arsenal",38,20,10,8,63,38,"+25",70,"Qualification for the Champions League first group stage"
"1992–93",3,"Liverpool",38,20,9,9,71,39,"+32",69,"Qualification for the Champions League third qualifying round[a]"
"1992–93",4,"Leeds United",38,20,8,10,64,43,"+21",68,"Qualification for the UEFA Cup first round[a]"
"1992–93",5,"Ipswich Town",38,20,6,12,57,42,"+15",66,"Qualification for the UEFA Cup first round[a]"
"1992–93",6,"Chelsea",38,17,10,11,68,45,"+23",61,"Qualification for the UEFA Cup first round[a]"
"1992–93",7,"Sunderland",38,15,12,11,46,41,"+5",57,""
"1992–93",8,"Aston Villa",38,13,15,10,46,43,"+3",54,"Qualification for the Intertoto Cup third round"
"1992–93",9,"Charlton Athletic",38,14,10,14,50,57,"-7",52,""
"1992–93",10,"Southampton",38,14,10,14,40,48,"-8",52,""
"1992–93",11,"Newcastle United",38,14,9,15,44,50,"-6",51,"Qualification for the Intertoto Cup third round"
"1992–93",12,"Tottenham Hotspur",38,13,10,15,47,54,"-7",49,""
"1992–93",13,"Leicester City",38,14,6,18,39,51,"-12",48,""
"1992–93",14,"Middlesbrough",38,9,15,14,44,44,"0",42,""
"1992–93",15,"West Ham United",38,10,12,16,45,50,"-5",42,""
"1992–93",16,"Everton",38,11,9,18,45,59,"-14",42,""
"1992–93",17,"Derby County",38,10,12,16,37,59,"-22",42,""
"1992–93",18,"Manchester City (R)",38,8,10,20,41,65,"-24",34,"Relegation to the Football League First Division"
"1992–93",19,"Coventry City (R)",38,8,10,20,36,63,"-27",34,"Relegation to the Football League First Division"
"1992–93",20,"Bradford City (R)",38,5,11,22,30,70,"-40",26,"Relegation to the Football League First Division"
