"year","Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1992–93",1,"Manchester City (C)",38,27,5,6,102,37,"+65",86,"Qualification for the Champions League group stage"
"1992–93",2,"Liverpool",38,26,6,6,101,50,"+51",84,"Qualification for the Champions League group stage"
"1992–93",3,"Chelsea",38,25,7,6,71,27,"+44",82,"Qualification for the Champions League group stage"
"1992–93",4,"Arsenal",38,24,7,7,68,41,"+27",79,"Qualification for the Champions League play-off round"
"1992–93",5,"Everton",38,21,9,8,61,39,"+22",72,"Qualification for the Europa League group stage"
"1992–93",6,"Tottenham Hotspur",38,21,6,11,55,51,"+4",69,"Qualification for the Europa League play-off round[a]"
"1992–93",7,"Manchester United",38,19,7,12,64,43,"+21",64,""
"1992–93",8,"Southampton",38,15,11,12,54,46,"+8",56,""
"1992–93",9,"Stoke City",38,13,11,14,45,52,"-7",50,""
"1992–93",10,"Newcastle United",38,15,4,19,43,59,"-16",49,""
"1992–93",11,"Crystal Palace",38,13,6,19,33,48,"-15",45,""
"1992–93",12,"Swansea City",38,11,9,18,54,54,"0",42,""
"1992–93",13,"West Ham United",38,11,7,20,40,51,"-11",40,""
"1992–93",14,"Sunderland",38,10,8,20,41,60,"-19",38,""
"1992–93",15,"Aston Villa",38,10,8,20,39,61,"-22",38,""
"1992–93",16,"Hull City",38,10,7,21,38,53,"-15",37,"Qualification for the Europa League third qualifying round[b]"
"1992–93",17,"West Bromwich Albion",38,7,15,16,43,59,"-16",36,""
"1992–93",18,"Norwich City (R)",38,8,9,21,28,62,"-34",33,"Relegation to the Championship"
"1992–93",19,"Fulham (R)",38,9,5,24,40,85,"-45",32,"Relegation to the Championship"
"1992–93",20,"Cardiff City (R)",38,7,9,22,32,74,"-42",30,"Relegation to the Championship"
